,sadness Tweets
842,I live in a corona free city Beijing is corona free Last patient of  Covid19  recovered yesterday  Just an update regarding Corona  situation  Prayers for all part of the world COVID19  UPDATE  Beijing  coronafree
843,So much bad data from the CDC this year And recently the Lancet study on HCQ was retracted These are bad but the  situation  with Coronavirus testing is worse Fraud on a whole new level Go to 2343 and listen for 3 minutes   VirusFraud  COVID19    http linkynuBw2Pv  
844,Cities with approximately 100000 people Now imagine them all dead That’s the US’s COVID19   situation  today Richardson TX Pompano Beach FL Sandy Springs GA Broken Arrow OK Santa Maria CA Centennial CO West Palm Beach FL Odessa TX South Bend IN Boulder CO
845,Corona  LIVE Update  India s total Covid19  cases of deaths 3161 India  Death  EListerSocial  follow us Heart4Smith  RT 100 FB Lockdown4
846,India s poor say  lockdown   extension  until May 3 leaves them without money food and promised government aid   httpswww aljazeeracomnews202004i ndiasmigrantworkersprotestlockdownextensioncurbvirus200415063431190html   …
847,Very sad to see Worldometers  has now removed the 7day average line from there Covid19  graphs probably because it disproved what the MSM  was saying about the  situation  getting worse    Eg Germanys relaxation of LockDown  caused increase in new cases when clearly it didnt pictwittercom0fYKQTOq3X
848,Some of the students are in a very poor condition and only eat 1 meal a day Due to  COVID19  crisis thier  situation  is very bad PromoteStudentsSaveFuture
849,I also stay near Paradise cinema I have seen them sell cylinder gas I had already tweeted this few weeks back that time there were no cops to see the  situation  Ppl in Mahim are roaming like nothing has happened
850,Einige Kolleginnen aus einem meiner drei Kurse haben darüber geschrieben wie die  Situation  für uns Studentinnen aktuell so ist  http interactionsacmorgblogviewthis isnotthenewnormalstudyingduringapandemic   …  covid19
851,Then due to  COVID19   situation  my meeting in Hyderabad was cancelled so I cancelled my booking the second refund is also awaited Its almost three months now Plz refund me  Sir HardeepSPuri  kindly help
852, BabuNuvuBtechAh  TV9Telugu  V6News  NtvTeluguLive  tv5newsnow  KTRTRS  TSEduDept  in this  situation  attending the exams is a difficult task So betterment the future of students and prevention of COVID19  cancelling the exams is a better solution CancelTSExamsPromoteStudents
853,What sticks out to me about this  covid19   situation  is this  cold South Dakota has seen a 1 rate in its state 3393 total cases and 34 deaths Whats going on here Is South Dakotas healthcare THAT much better Or are they not killing everyone in LTC facilities vs others
854,Isolation loss of wages and increased stress can all worsen an already dangerous  situation  If you or someone you know is experiencing family violence during COVID19 help is available Visit the link for more info NWT  COVID19  NWTShelters    httpswww govntcacovid19ense rvicesaboutcovid19familyviolenceshelters   … pictwittercomjnYaMaSVZl
855,And another side Incred doing Lay Off  Many employees are unemployed at  covid19   situation  very sad
856,This is so sad It’s a damn if you so damn if you don’t  situation   COVID19  SoSadhttpsfacebookcomstoryphpstoryfbid902475656925528id114288853688
857,10 symptomatic cases rest all asymptomatic CM DrPramodPSawant  How come Government gonna detect Asymptomatic  patient Is this the right way of Govt deal with this  situation  Or you all want to put Goa on Death Zone MichaelLobo76  Goa  Health  Covid19
858,I have been asked if I can undertake specific jobs in an email I have not accepted because a close relative is dying of  Covid19  What is your agenda here I have absolutely no doubt that the SNHS is doing their very best in this  situation 
859,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression    Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK       http peopledevelopmentmagazinecom   pictwittercomZ7JFMjmFCF
860, nytdavidbrooks  Sir in poor countries like  India  the  extension  of  lockdown  is becoming counterproductive as with economic standstill livelihoods losses threaten life in itself which we are trying to protect from virus 
861,BIG BREAKING  Lockdown  has been extended by another Two weeks till May 17 Lockdown3  Corona  Covid19  BT India   pictwittercomarfGoz7TjK
862,TodayModi announced the  extension  of the  lockdown  bt again failed to address the issue of migrant workrsThere r crs of poor ppl who r stuck in differnt cities of  India they wr waiting for  lockdown  to b lifted todayso that they cud go back to their families भाषणहैराशननही
863,Salaamz M howz the COVID19   situation  in Dubai still on UKlockdown  here but things slowly getting better StaySafe
864,Coronavirus crisis PM Modi to meet CMs today  lockdown   extension  stimulus package on agenda  httpswww businesstodayinlatesttrends pmcmsmeetfromlockdownextensiontostimuluspackageherewhatonlikelyagendastory402078htmlutmsourcetwitterutmmediumWEB   …  via BT India
865,My BSNL  WIFI isnt working since 3 days I received the complaint no 1050175157  technicians number His number is switched off since morning I got to WFH How i proceed with 2G network and COVID19   situation  please help BSNLJK  BSNLCorporate  COVID19  Restore4Ginjammu
866,Sarpanch of Manuke village in Ludhiana is not only helping authorities make preparations for the last rites of Gurjant Singh Nanded returnee who died of COVID19  but also sensitising the villagers about the  situation   mohitk1  reports httpswww hindustantimescomcitiesmanuke villageshowsthewaygivesadecentfuneraltocovidvictimstoryo4QmuSUd0FlgEl882JDIJJhtml   …
867,Spoke to koat7news  recently about NM’s unemployment insurance  situation  and the potential impact that the covid19  shutdown could have on businesses in our State if unemployment insurance rates skyrocket as they did just over a decade ago  httpswww koatcomarticleunempl oymentmoneyrunningdry32855584   …  NMRestaurants pictwittercomA8SZn7bR0p
868,Dear sir  I am the student of class 12th commerce  stream from cbse school  and my 2 exams are still left but due to  covid19  Day by day covid cases are rising the  situation   can be easily turn like America and one more thing we can follow all the protocols
869,SRK TRUST which conducts free courses to poor students and arranging job for their livelihood Due to  COVID19  We are facing monetary problems to provide salary to our staffsWe kindly request all patrons to help us to manage this critical  situation   WhatsApp  9943490032
870,At least u can get one done lol NIreland MOT  situation  has been in a mess since January due to an issue with the ramps at centres Now  Covid19  has struck too I cant even imagine how many cars with bald wheels n worn out brakes etc are on the roads right now   ps good luck
